gnis,place_name,state_code,source_url,status
2395220,"City of New York",NY,https://nyc.gov,not_scraped
2410877,"City of Los Angeles",CA,"https://codelibrary.amlegal.com/codes/los_angeles/latest/overview, https://lacity.gov",not_scraped
428803,"City of Chicago",IL,https://chicago.gov,not_scraped
2410796,"City of Houston",TX,https://www.houstontx.gov/,not_scraped
2411414,"City of Phoenix",AZ,https://www.phoenix.gov,not_scraped
1215531,"City of Philadelphia",PA,"https://codelibrary.amlegal.com/codes/philadelphia/latest/overview, https://www.phila.gov/",not_scraped
2411774,"City of San Antonio",TX,"https://library.municode.com/tx/san_antonio, http://www.sanantonio.gov/",not_scraped
2411782,"City of San Diego",CA,https://www.sandiego.gov/,not_scraped
2410288,"City of Dallas",TX,http://www.dallascityhall.com,not_scraped
365281,Honolulu,HI,http://www.honolulu.gov,not_scraped
2709276,"City and County of Honolulu",HI,"https://codelibrary.amlegal.com/codes/honolulu/latest/overview, http://www.honolulu.gov",not_scraped
2411790,"City of San Jose",CA,"https://library.municode.com/ca/san_jose, http://www.sanjoseca.gov",incomplete_scrape
293656,Duval,FL,https://www.coj.net/,not_scraped
2409761,"City of Austin",TX,"https://library.municode.com/tx/austin, https://www.austintexas.gov/",not_scraped
2404783,"City of Jacksonville",FL,http://www.coj.net,not_scraped
2410531,"City of Fort Worth",TX,"https://codelibrary.amlegal.com/codes/ftworth/latest/overview, http://www.fortworthtexas.gov",not_scraped
1086101,"City of Columbus",OH,http://www.columbus.gov,not_scraped
2395423,"City of Indianapolis",IN,http://www.indygov.org,not_scraped
2404032,"City of Charlotte",NC,https://charlottenc.gov,not_scraped
2411786,"City of San Francisco",CA,https://sf.gov/,not_scraped
2411856,"City of Seattle",WA,"https://library.municode.com/wa/seattle, https://www.seattle.gov/",not_scraped
2410324,"City of Denver",CO,"https://library.municode.com/co/denver, https://www.denvergov.org",not_scraped
2390665,"City of Washington",DC,https://dc.gov/,not_scraped
1652484,Nashville,TN,http://www.nashville.gov,not_scraped
2405091,"Metropolitan Government of Nashville-Davidson",TN,http://www.nashville.gov,not_scraped
2411311,"City of Oklahoma City",OK,"https://library.municode.com/ok/oklahoma_city, http://www.okc.gov/",incomplete_scrape
2410414,"City of El Paso",TX,"https://library.municode.com/tx/el_paso, https://www.elpasotexas.gov/",incomplete_scrape
